,PM2.5,Land_EQI,Sociod_EQI,Built_EQI,CLU50_1,PM10,SO2,NO2,O3,CO,CN,Disel,CS2,Air_EQI,Water_EQI,EQI,smoking_data,LCI_smoking,UCI_smoking
1318,8.0,0.8141452,0.7071473,0.8604406,41,7.54,94.0193792,167.6155155,2731.2,247.5547702,0.0215277,0.7688101,0.000661,0.4869064,0.9911985,1.17,24.4,20.8,28.1
2590,6.4,0.3291058,0.8328685,1.309324,40,11.26,51.6339223,342.1089995,1703.31,422.3221016,0.0072005,0.2045284,0.000227,-0.0395448,1.130375,1.09,27.6,24.9,30.7
2408,10.34,-1.483472,-1.362197,0.8265964,15,13.62,582.9479195,1116.695734,8364.45,1187.784494,0.0241786,0.4906303,0.00128,0.9174991,-1.553888,-0.61,19.0,15.7,22.4
1776,6.37,0.8251124,-0.1049686,0.8009328,36,7.36,6.032772,26.3435716,1438.87,566.6357964,0.0117181,0.048414,6.54e-05,-0.2774266,1.008496,0.57,27.6,23.6,31.8
169,7.6,0.6371944,0.0255134,1.41059,45,12.56,8.6060989,154.0158358,882.94,141.0398569,0.0017111,0.0974786,0.000127,-0.6708186,1.300986,0.71,25.0,21.1,29.2
2148,8.13,-0.7757571,-0.3273568,-0.6111776,11,6.53,43.6417995,392.6831554,3704.79,917.9166122,0.0063744,0.1403092,8.29e-05,-0.6556102,0.6337341,-0.67,26.7,22.7,31.6
1789,7.31,1.058156,0.3722984,0.6916431,41,8.69,53.3893748,103.0539964,8378.38,2464.787114,0.1602078,0.318254,0.000961,1.231362,1.027802,1.31,25.3,22.2,28.8
2079,7.06,-0.3524467,-0.1968869,0.0413498,8,4.78,14.9140872,185.3019958,1260.25,334.3581805,0.0015162,0.1116774,0.000217,-1.130414,0.6647357,-0.43,25.7,21.4,30.1
2450,12.94,-0.6439645,-1.057226,-0.6149311,4,14.13,485.8710003,679.306728,8785.83,1097.243032,0.0137208,0.2344067,0.000225,0.3408356,1.043693,-0.49,34.5,30.2,39.0
804,9.03,0.792684,1.231528,0.1433219,42,11.62,135.7744006,286.5416601,4011.03,236.2770883,0.0041534,0.3525448,8.75e-05,-0.7234327,0.1379408,0.52,25.6,21.9,29.7
